crossroad,trafficStopList
B,2
B,3
B,2
B,3
B,2
B,3
A,1
A,3
A,1
A,3
A,1
A,3
D,4
D,4
D,3
D,4
D,2
D,4
D,2
D,4
D,3
D,4
D,3
D,4
D,4
D,3
D,4
D,3
G,1
G,3
G,3
G,3
H,1
H,4
H,1
H,4
H,1
H,4
H,2
H,4
C,1
C,2
D,2
D,3
D,1
D,4
G,3
G,4
G,4
G,4
G,3
G,4
H,10
H,4
H,8
H,4
H,9
H,4
H,9
H,4
H,10
H,4
H,8
H,4
H,10
H,4
H,9
H,4
H,7
H,4
H,8
H,4
H,10
H,4
H,8
H,4
H,7
H,4
H,5
H,4
H,7
H,3
H,5
H,4
H,6
H,4
I,1
I,1
C,1
C,2
A,1
A,3
D,1
D,2
G,4
G,4
G,4
G,4
G,4
G,4
H,5
H,3
H,5
H,3
H,5
H,3
H,4
H,4
H,2
H,4
H,3
H,3
H,2
H,3
H,4
H,4
I,2
I,4
I,1
I,4
I,2
I,3
C,2
C,4
C,1
C,4
C,1
C,4
C,1
C,4
C,1
C,4
C,1
C,3
C,1
C,3
C,1
C,3
C,1
C,3
B,1
B,3
G,4
G,4
G,4
G,4
G,2
G,4
G,2
G,4
H,4
H,4
H,4
H,4
H,5
H,4
H,6
H,4
H,6
H,4
H,5
H,4
H,5
H,4
H,5
H,4
H,5
H,4
H,5
H,4
H,5
H,4
H,6
H,4
H,6
H,4
H,6
H,4
H,4
H,4
H,5
H,4
H,6
H,4
H,7
H,4
H,6
H,4
H,7
H,3
I,1
I,2
I,1
I,2
B,1
B,3
A,1
A,2
D,1
D,3
G,1
G,4
G,1
G,4
G,1
G,4
G,1
G,4
G,1
G,4
G,1
G,4
G,3
G,4
H,4
H,4
H,4
H,4
H,5
H,4
H,5
H,4
H,5
H,4
H,5
H,4
H,5
H,4
H,4
H,4
H,5
H,3
H,4
H,3
H,3
H,3
H,5
H,2
H,5
H,3
I,2
I,4
I,1
I,4
I,1
I,3
I,2
I,3
I,2
I,3
G,2
G,4
G,1
G,4
G,1
G,4
G,1
G,4
G,2
G,4
H,7
H,4
H,7
H,4
H,7
H,4
H,7
H,4
H,6
H,4
H,6
H,4
H,6
H,3
H,6
H,3
H,6
H,4
H,6
H,4
H,4
H,4
H,5
H,3
H,5
H,4
H,5
H,4
H,5
H,3
H,3
H,3
H,5
H,2
H,5
H,2
H,4
H,3
H,5
H,3
H,6
H,3
H,4
H,3
H,5
H,3
H,7
H,3
H,5
H,3
I,1
I,1
